date,category,product_name,product_type,origin,unit,lulu_price,rawabi_price,family_price,price_per_kg_lulu,price_per_kg_rawabi,price_per_kg_family,cheapest_store,status
2026-06-08,Fruits,Apple,Apples,China,1kg,,8.0,,,8.0,,Rawabi,Active
2026-06-08,Fruits,Apple Africa,Apples,,1kg,,10.5,,,10.5,,Rawabi,Active
2026-06-08,Fruits,Apple Fuji,Apples,China,1kg,,9.5,,,9.5,,Rawabi,Active
2026-06-08,Fruits,Apple Fuji Jumbo,Apples,,1kg,10.75,,,10.75,,,Lulu,Active
2026-06-08,Fruits,Apple Gala,Apples,France,1kg,,9.75,,,9.75,,Rawabi,Active
2026-06-08,Fruits,Apple Gala,Apples,Italy,1kg,,9.75,,,9.75,,Rawabi,Active
2026-06-08,Fruits,Apple Gala Chili,Apples,,1kg,,10.5,,,10.5,,Rawabi,Active
2026-06-08,Fruits,Apple Golden,Apples,Italy,1kg,9.75,9.75,,9.75,9.75,,Lulu,Active
2026-06-08,Fruits,Apple Golden Packet 1X10,Apples,Iran,,,8.5,,,,,,Active
2026-06-08,Fruits,Apple Green,Apples,South Africa,1kg,12.75,,,12.75,,,Lulu,Active
2026-06-08,Fruits,Apple Green,Apples,Spain,1kg,12.75,,,12.75,,,Lulu,Active
2026-06-08,Fruits,Apple Pink Lady,Apples,France,1kg,13.75,,,13.75,,,Lulu,Active
2026-06-08,Fruits,Apple Red Small-Box,Apples,Iran,,,24.0,,,,,,Active
2026-06-08,Fruits,Apple Rockit,Apples,,1.0pkt,33.5,,,33500.0,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala,Apples,Italy,1kg,10.5,,,10.5,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala,Apples,France,1kg,11.0,,,11.0,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala,Apples,Turkey,1kg,8.75,,,8.75,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala New Zealand,Apples,,1kg,13.75,,,13.75,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala Poland,Apples,,1kg,7.75,,,7.75,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala Portugal,Apples,,1kg,11.0,,,11.0,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala Serbia,Apples,,1kg,11.5,,,11.5,,,Lulu,Active
2026-06-08,Fruits,Apple Royal Gala Ukraine,Apples,,1kg,10.0,,,10.0,,,Lulu,Active
2026-06-08,Fruits,Colacasia Bangaladesh,Apples,,1kg,,18.0,,,18.0,,Rawabi,Active
2026-06-08,Fruits,Galanga,Apples,Thailand,100g,4.75,,,47.5,,,Lulu,Active
2026-06-08,Fruits,Golden Berry Columbia,Apples,,1.0pkt,22.5,,,22500.0,,,Lulu,Active
2026-06-08,Fruits,Pineapple,Apples,India,1kg,,18.0,,,18.0,,Rawabi,Active
2026-06-08,Fruits,Pineapple,Apples,,1kg,14.5,,,14.5,,,Lulu,Active
2026-06-08,Fruits,Pineapple ( - ),Apples,India,1.0pc,27.25,,,27250.0,,,Lulu,Active
2026-06-08,Fruits,Pineapple Cuts,Apples,,250g,15.0,,,60.0,,,Lulu,Active
2026-06-08,Fruits,Pineapple Golden,Apples,Kenya,1kg,,13.0,,,13.0,,Rawabi,Active
2026-06-08,Fruits,Pineapple Peeled,Apples,Thailand,1kg,,44.0,,,44.0,,Rawabi,Active
2026-06-08,Fruits,Pineapple Peeled,Apples,Thailand,500g,,22.0,,,44.0,,Rawabi,Active
2026-06-08,Fruits,Rose Apple -Packet,Apples,Thailand,,,30.0,,,,,,Active
2026-06-08,Fruits,Apricot,Apricots,Jordan,1kg,,25.0,,,25.0,,Rawabi,Active
2026-06-08,Fruits,Apricot,Apricots,Jordan,1.0pkt,13.5,,,13500.0,,,Lulu,Active
2026-06-08,Fruits,Apricot Small Box,Apricots,Lebanon,600g,20.0,,,33.33,,,Lulu,Active
2026-06-08,Fruits,Apricot Syria,Apricots,,1.0pkt,11.75,,,11750.0,,,Lulu,Active
2026-06-08,Fruits,Avocado,Avocado,Sri Lanka,1kg,24.5,,,24.5,,,Lulu,Active
2026-06-08,Fruits,Avocado,Avocado,Lebanon,1kg,41.5,,,41.5,,,Lulu,Active
2026-06-08,Fruits,Avocado By Air,Avocado,Uganda,1kg,,19.0,,,19.0,,Rawabi,Active
2026-06-08,Fruits,Avocado Hass,Avocado,Uganda,1kg,,26.0,,,26.0,,Rawabi,Active
2026-06-08,Fruits,Avocado Hass,Avocado,Kenya,1kg,,20.0,,,20.0,,Rawabi,Active
2026-06-08,Fruits,Avocado Hass,Avocado,Kenya,500g,14.5,,,29.0,,,Lulu,Active
2026-06-08,Fruits,Avocado Hass,Avocado,,2.0pcs,21.5,,,10750.0,,,Lulu,Active
2026-06-08,Fruits,Avocados Hass,Avocado,,500g,23.75,,,47.5,,,Lulu,Active
2026-06-08,Fruits,Banana,Banana,Philippines,1kg,,7.75,,,7.75,,Rawabi,Active
2026-06-08,Fruits,Banana,Banana,Ecuador,1kg,7.5,7.75,,7.5,7.75,,Lulu,Active
2026-06-08,Fruits,Banana -Carton,Banana,Philippines,,,91.0,,,,,,Active
2026-06-08,Fruits,Banana Flower,Banana,India,,,,17.5,,,,,Active
2026-06-08,Fruits,Banana Green,Banana,India,,,,4.25,,,,,Active
2026-06-08,Fruits,Banana Leaf,Banana,India,1.0pc,1.75,,,1750.0,,,Lulu,Active
2026-06-08,Fruits,Banana Leaves,Banana,India,1.0pc,,1.75,,,1750.0,,Rawabi,Active
2026-06-08,Fruits,Banana Pindi/Stem,Banana,,500g,8.75,,,17.5,,,Lulu,Active
2026-06-08,Fruits,Banana Rasakadali,Banana,India,500g,8.5,,,17.0,,,Lulu,Active
2026-06-08,Fruits,Banana Red Poovan,Banana,India,500g,8.25,,,16.5,,,Lulu,Active
2026-06-08,Fruits,Banana Yellow,Banana,India,1kg,14.75,14.75,,14.75,14.75,,Lulu,Active
2026-06-08,Fruits,Kadali Banana By Air,Banana,India,1kg,,18.5,,,18.5,,Rawabi,Active
2026-06-08,Fruits,Kadhali Banana,Banana,India,1kg,,18.5,,,18.5,,Rawabi,Active
2026-06-08,Fruits,Black Berry -Packet,Berries,Morocco,,,25.0,,,,,,Active
2026-06-08,Fruits,Blueberries Pkt,Berries,Egypt,125g,,12.0,,,96.0,,Rawabi,Active
2026-06-08,Fruits,Blueberry,Berries,,1.0pkt,13.5,,,13500.0,,,Lulu,Active
2026-06-08,Fruits,Blueberry,Berries,Morocco,125g,8.75,,,70.0,,,Lulu,Active
2026-06-08,Fruits,Blueberry -Packet,Berries,Morocco,,,16.0,,,,,,Active
2026-06-08,Fruits,Cherry Syria Plastic,Berries,,1.0pkt,17.75,,,17750.0,,,Lulu,Active
2026-06-08,Fruits,Driscoll'S Blueberry,Berries,,500g,36.5,,,73.0,,,Lulu,Active
2026-06-08,Fruits,Driscoll'S Strawberry,Berries,Usa,250g,23.75,,,95.0,,,Lulu,Active
2026-06-08,Fruits,Driscolls Strawberry,Berries,,250g,23.75,,,95.0,,,Lulu,Active
2026-06-08,Fruits,Driscolls Strawberry Uk,Berries,,250g,23.75,,,95.0,,,Lulu,Active
2026-06-08,Fruits,Fresh Cut Strawberry,Berries,,250g,20.0,,,80.0,,,Lulu,Active
2026-06-08,Fruits,Gold Berry Colombia Packet,Berries,,,,14.0,,,,,,Active
2026-06-08,Fruits,Goosberry Indian,Berries,India,1kg,,24.0,,,24.0,,Rawabi,Active
2026-06-08,Fruits,Goosberry Indian,Berries,India,250g,,6.0,,,24.0,,Rawabi,Active
2026-06-08,Fruits,Gooseberry (Amla),Berries,India,250g,5.75,,,23.0,,,Lulu,Active
2026-06-08,Fruits,Mix Berry,Berries,,255g,42.0,,,164.71,,,Lulu,Active
2026-06-08,Fruits,Physalis,Berries,,125g,,,15.0,,,120.0,Family,Active
2026-06-08,Fruits,Physalis Colombia,Berries,,1.0pkt,12.5,,,12500.0,,,Lulu,Active
2026-06-08,Fruits,Physalis Columbia,Berries,,1.0pkt,16.5,,,16500.0,,,Lulu,Active
2026-06-08,Fruits,Physalis Fruit Colombia-Packet,Berries,,,,10.0,,,,,,Active
2026-06-08,Fruits,Red Currant,Berries,Holland,1.0pkt,38.5,,,38500.0,,,Lulu,Active
2026-06-08,Fruits,Strawberry Fruit Cut,Berries,,255g,28.0,,,109.8,,,Lulu,Active
2026-06-08,Fruits,Chickoo,Chickoo,India,500g,12.5,,,25.0,,,Lulu,Active
2026-06-08,Fruits,Chikoo -Plate,Chickoo,Thailand,,,25.0,,,,,,Active
2026-06-08,Fruits,Fresh Cut Citrus,Citrus Fruits,,250g,4.5,,,18.0,,,Lulu,Active
2026-06-08,Fruits,Fresh Cut Citrus,Citrus Fruits,,300g,4.75,,,15.83,,,Lulu,Active
2026-06-08,Fruits,Kaffir Lime,Citrus Fruits,Thailand,250g,11.75,,,47.0,,,Lulu,Active
2026-06-08,Fruits,Lemon Africa,Citrus Fruits,,1kg,,13.5,,,13.5,,Rawabi,Active
2026-06-08,Fruits,Lemon Africa,Citrus Fruits,,250g,,3.5,,,14.0,,Rawabi,Active
2026-06-08,Fruits,Lemon Big,Citrus Fruits,South Africa,500g,6.25,,,12.5,,,Lulu,Active
2026-06-08,Fruits,Lime,Citrus Fruits,Vietnam,1kg,,14.0,,,14.0,,Rawabi,Active
2026-06-08,Fruits,Lime,Citrus Fruits,Vietnam,250g,,3.5,,,14.0,,Rawabi,Active
2026-06-08,Fruits,Lime,Citrus Fruits,India,250g,6.75,,,27.0,,,Lulu,Active
2026-06-08,Fruits,Lime Leaves Pkt,Citrus Fruits,Thailand,100g,6.5,,,65.0,,,Lulu,Active
2026-06-08,Fruits,Lime Seedless,Citrus Fruits,Vietnam,250g,4.25,,,17.0,,,Lulu,Active
2026-06-08,Fruits,Mandarin,Citrus Fruits,Egypt,1kg,7.75,9.75,,7.75,9.75,,Lulu,Active
2026-06-08,Fruits,Mandarin,Citrus Fruits,China,1kg,,10.5,,,10.5,,Rawabi,Active
2026-06-08,Fruits,Mandarin Leanri Africa,Citrus Fruits,,1kg,,10.0,,,10.0,,Rawabi,Active
2026-06-08,Fruits,Mandarin Nadorcot,Citrus Fruits,Morocco,1kg,,12.5,,,12.5,,Rawabi,Active
2026-06-08,Fruits,Mandarin Nova,Citrus Fruits,South Africa,1kg,13.75,,,13.75,,,Lulu,Active
2026-06-08,Fruits,Mandarin Wogan,Citrus Fruits,China,1kg,10.5,,,10.5,,,Lulu,Active
2026-06-08,Fruits,Mandarine Nadarcott,Citrus Fruits,Egypt,1kg,,9.5,,,9.5,,Rawabi,Active
2026-06-08,Fruits,Orange Navel,Citrus Fruits,Egypt,1kg,8.5,7.0,,8.5,7.0,,Rawabi,Active
2026-06-08,Fruits,Orange Navel,Citrus Fruits,Spain,1kg,10.0,12.0,,10.0,12.0,,Lulu,Active
2026-06-08,Fruits,Orange Navel,Citrus Fruits,China,500g,4.25,,,8.5,,,Lulu,Active
2026-06-08,Fruits,Orange Valencia,Citrus Fruits,Egypt,1kg,5.0,,,5.0,,,Lulu,Active
2026-06-08,Fruits,Orange Valencia,Citrus Fruits,Lebanon,1kg,32.5,,,32.5,,,Lulu,Active
2026-06-08,Fruits,Peeled Mandarin,Citrus Fruits,,250g,5.5,,,22.0,,,Lulu,Active
2026-06-08,Fruits,Pomelo,Citrus Fruits,Thailand,1kg,,12.0,,,12.0,,Rawabi,Active
2026-06-08,Fruits,Pomelo,Citrus Fruits,China,1.0pc,7.75,,,7750.0,,,Lulu,Active
2026-06-08,Fruits,Pomelo,Citrus Fruits,South Africa,800g,15.75,,,19.69,,,Lulu,Active
2026-06-08,Fruits,Coconut Grated,Coconut,India,1.0pc,,3.0,,,3000.0,,Rawabi,Active
2026-06-08,Fruits,Coconut Jelly,Coconut,Thailand,1kg,,20.0,,,20.0,,Rawabi,Active
2026-06-08,Fruits,Coconut Shredded,Coconut,India,1.0pc,3.5,,,3500.0,,,Lulu,Active
